start_date,utility,std_offer_rate
1/1/12,CENTRAL MAINE POWER CO.,0.084906
1/1/12,BANGOR HYDRO DISTRICT,0.082517
1/1/12,MAINE PUBLIC SERVICE,0.073
3/1/12,CENTRAL MAINE POWER CO.,0.07438
3/1/12,BANGOR HYDRO DISTRICT,0.071389
3/1/13,CENTRAL MAINE POWER CO.,0.06826
3/1/13,BANGOR HYDRO DISTRICT,0.06695
3/1/14,CENTRAL MAINE POWER CO.,0.075603
3/1/14,BANGOR HYDRO DISTRICT,0.07576
3/1/14,MAINE PUBLIC SERVICE,0.08493
3/1/15,CENTRAL MAINE POWER CO.,0.065441
3/1/15,BANGOR HYDRO DISTRICT,0.0650422
1/1/16,CENTRAL MAINE POWER CO.,0.0656
1/1/16,BANGOR HYDRO DISTRICT,0.06594
3/1/16,CENTRAL MAINE POWER CO.,0.06443
3/1/16,BANGOR HYDRO DISTRICT,0.0663
11/1/16,MAINE PUBLIC SERVICE,0.07092
1/1/17,CENTRAL MAINE POWER CO.,0.06691
1/1/17,BANGOR HYDRO DISTRICT,0.06322
6/1/17,MAINE PUBLIC SERVICE,0.07049
1/1/18,CENTRAL MAINE POWER CO.,0.0792063
1/1/18,BANGOR HYDRO DISTRICT,0.07225
1/1/18,MAINE PUBLIC SERVICE,0.07423
1/1/19,CENTRAL MAINE POWER CO.,0.090029
1/1/19,BANGOR HYDRO DISTRICT,0.083695
1/1/19,MAINE PUBLIC SERVICE,0.08461
1/1/20,CENTRAL MAINE POWER CO.,0.073037
1/1/20,BANGOR HYDRO DISTRICT,0.068785
1/1/20,MAINE PUBLIC SERVICE,0.067294
1/1/21,CENTRAL MAINE POWER CO.,0.064494
1/1/21,BANGOR HYDRO DISTRICT,0.06196
1/1/21,MAINE PUBLIC SERVICE,0.060267
1/1/22,CENTRAL MAINE POWER CO.,0.118161
1/1/22,BANGOR HYDRO DISTRICT,0.11684
1/1/22,MAINE PUBLIC SERVICE,0.110873
1/1/23,CENTRAL MAINE POWER CO.,0.17631
1/1/23,BANGOR HYDRO DISTRICT,0.15438
1/1/23,MAINE PUBLIC SERVICE,0.14879
8/1/23,CENTRAL MAINE POWER CO.,0.16631
8/1/23,BANGOR HYDRO DISTRICT,0.15438
1/1/24,CENTRAL MAINE POWER CO.,0.108363
1/1/24,BANGOR HYDRO DISTRICT,0.10763
1/1/24,MAINE PUBLIC SERVICE,0.11285
7/1/24,CENTRAL MAINE POWER CO.,0.106363
7/1/24,BANGOR HYDRO DISTRICT,0.10263
1/1/25,CENTRAL MAINE POWER CO.,0.106128
1/1/25,BANGOR HYDRO DISTRICT,0.105628
1/1/25,MAINE PUBLIC SERVICE,0.11653
